Programm log: 0.014893054962: Including mr_ses 0.019701004028: Including mr_sql 0.023802995682: Database connected 0.023941993713: SELECT * FROM mr_sessions WHERE user_id IS NULL AND remote_addr='84.237.120.114' 0.024972915649: DELETE FROM mr_sessions WHERE timeМосква
Мурманск
Архангельск
Астрахань
Белгород
Нижний Новгород
Новосибирск
Брянск
Омск
Орёл
Оренбург
Владимир
Волгоград
Вологда
Пенза
Воронеж
Пермь
Псков
Рязань
Самара
Санкт-Петербург
Саратов
Смоленск
Иваново
Иркутск
Калининград
Калуга
Тамбов
Кемерово
Тверь
Киров
Томск
Тула
Тюмень
Ульяновск
Кострома
Челябинск
Курган
Курск
Чита
Липецк
Магадан
Ярославль


cities in regs: 195
regs: 59


othercities: 892
Абаза (Республика Хакасия)
Мариинск (Кемеровская область)
Мариинский Посад (Чувашская Республика-Чувашия)
Абдулино (Оренбургская область)
Маркс (Саратовская область)
Абинск (Краснодарский край)
Агидель (Республика Башкортостан)
Мглин (Брянская область)
Агрыз (Республика Татарстан)
Адыгейск (Республика Адыгея)
Медвежьегорск (Республика Карелия)
Азнакаево (Республика Татарстан)
Медногорск (Оренбургская область)
Азов (Ростовская область)
Медынь (Калужская область)
Ак-Довурак (Республика Тыва)
Межгорье (Республика Башкортостан)
Аксай (Ростовская область)
Междуреченск (Кемеровская область)
Алагир (Республика Северная Осетия - Алания)
Мезень (Архангельская область)
Алапаевск (Свердловская область)
Меленки (Владимирская область)
Алатырь (Чувашская Республика-Чувашия)
Мелеуз (Республика Башкортостан)
Алдан (Республика Саха (Якутия))
Менделеевск (Республика Татарстан)
Алейск (Алтайский край)
Мензелинск (Республика Татарстан)
Александров (Владимирская область)
Мещовск (Калужская область)
Александровск (Пермский край)
Миасс (Челябинская область)
Александровск-Сахалинский (Сахалинская область)
Микунь (Республика Коми)
Алексеевка (Белгородская область)
Миллерово (Ростовская область)
Алексин (Тульская область)
Алзамай (Иркутская область)
Минусинск (Красноярский край)
Альметьевск (Республика Татарстан)
Миньяр (Челябинская область)
Амурск (Хабаровский край)
Анадырь (Чукотский автономный округ)
Михайлов (Рязанская область)
Михайловка (Волгоградская область)
Андреаполь (Тверская область)
Михайловск (Свердловская область)
